Year,athlete_each_year,man,woman,percent_year,total,percentage_man,percentage_woman
1896,380,380,0,0.1401614069254489,380,100,0
1900,1936,1903,33,0.7140854837043922,1936,98.29545454545455,1.7045454545454544
1904,1301,1285,16,0.47986839581581314,1301,98.77017678708685,1.2298232129131437
1906,1733,1722,11,0.6392097847415866,1733,99.36526255049047,0.634737449509521
1908,3101,3054,47,1.1437908496732025,3101,98.48435988390841,1.5156401160915833
1912,4040,3953,87,1.4901370631021407,4040,97.84653465346534,2.153465346534653
1920,4292,4158,134,1.5830862066421754,4292,96.87791239515377,3.1220876048462256
1924,5693,5432,261,2.0998391832278434,5693,95.41542244862111,4.584577551378886
1928,5574,5137,437,2.055946532111716,5574,92.1600287047004,7.8399712952996055
1932,3321,2952,369,1.2249369273668835,3321,88.88888888888889,11.11111111111111
1936,7401,6852,549,2.7298278227769663,7401,92.58208350222942,7.417916497770571
1948,7480,6719,761,2.7589666415851517,7480,89.82620320855615,10.17379679144385
1952,9358,7676,1682,3.4516590684430284,9358,82.02607394742466,17.973926052575337
1956,6434,5295,1139,2.373153926732469,6434,82.29717127758781,17.702828722412185
1960,9235,7505,1730,3.406291034096107,9235,81.26691932864104,18.73308067135896
1964,9480,7728,1752,3.496658256982251,9480,81.51898734177216,18.48101265822785
1968,10479,8286,2193,3.8651352188731023,10479,79.0724305754366,20.927569424563412
1972,11959,9351,2608,4.411027014266955,11959,78.19215653482733,21.807843465172674
1976,10502,7896,2606,3.873618672450169,10502,75.18567891830128,24.814321081698722
1980,8937,6751,2186,3.2963749834019387,8937,75.53989034351572,24.46010965648428
1984,11588,8605,2983,4.274185219610794,11588,74.25785295132896,25.742147048671036
1988,14676,10453,4223,5.413181073783916,14676,71.22512946306895,28.774870536931047
1992,16413,11235,5178,6.053866241756296,16413,68.4518369585085,31.5481630414915
1994,3160,2055,1105,1.1655527523274172,3160,65.03164556962025,34.96835443037975
1996,13780,8772,5008,5.082695230086015,13780,63.65747460087082,36.34252539912917
1998,3605,2221,1384,1.3296891367532715,3605,61.608876560332874,38.391123439667126
2000,13821,8390,5431,5.097817908201655,13821,60.70472469430577,39.29527530569423
2002,4109,2527,1582,1.5155874238333407,4109,61.499148211243615,38.50085178875639
2004,13443,7897,5546,4.958394192891603,13443,58.74432790299784,41.255672097002154
2006,4382,2625,1757,1.6162823293350448,4382,59.904153354632584,40.09584664536741
2008,13602,7786,5816,5.017040676315673,13602,57.24158212027643,42.758417879723574
2010,4402,2555,1847,1.6236592454890157,4402,58.04179918218991,41.95820081781009
2012,12920,7105,5815,4.7654878354652626,12920,54.99226006191951,45.00773993808049
2014,4891,2868,2023,1.8040248454536068,4891,58.638315272950315,41.361684727049685
2016,13688,7465,6223,5.048761415777749,13688,54.53682057276447,45.46317942723553
