Team,no_all_athlete,no_women,percen_women,,,Country name,Percentage,
30. Februar,2,0,0.00,,,Saint Martin,#N/A,#N/A
A North American Team,4,0,0.00,,,Sint Maarten,#N/A,#N/A
Acipactli,3,0,0.00,,,Republic of Macedonia,#N/A,#N/A
Acturus,2,0,0.00,,,Albania,#N/A,38.57
Afghanistan,126,5,3.97,,,Armenia,#N/A,17.19
Akatonbo,3,0,0.00,,,Ivory Coast,#N/A,#N/A
Alain IV,3,0,0.00,,,East Timor,#N/A,#N/A
Albania,70,27,38.57,,,Eswatini,#N/A,#N/A
Alcaid,3,0,0.00,,,Andorra,#N/A,24.85
Alcyon-6,1,0,0.00,,,Guantanamo Bay Naval Base,#N/A,#N/A
Alcyon-7,2,0,0.00,,,Guinea-Bissau,#N/A,#N/A
Aldebaran,2,0,0.00,,,Gibraltar,#N/A,#N/A
Aldebaran II,2,0,0.00,,,Belize,#N/A,11.84
Aletta,3,0,0.00,,,The Gambia,#N/A,#N/A
Algeria,551,94,17.06,,,Vatican City,#N/A,#N/A
Ali-Baba II,7,0,0.00,,,Greenland,#N/A,#N/A
Ali-Baba IV,2,0,0.00,,,New Caledonia,#N/A,#N/A
Ali-Baba IX,2,0,0.00,,,Curaçao,#N/A,#N/A
Ali-Baba VI,2,0,0.00,,,Aruba,#N/A,38.10
Allegro,3,0,0.00,,,The Bahamas,#N/A,#N/A
Almaz,2,0,0.00,,,Turks and Caicos Islands,#N/A,#N/A
Aloha II,5,0,0.00,,,Saint Pierre and Miquelon,#N/A,#N/A
Amateur Athletic Association,5,0,0.00,,,Pitcairn Islands,#N/A,#N/A
American Samoa,37,7,18.92,,,French Polynesia,#N/A,#N/A
Amolgavar,3,0,0.00,,,French Southern and Antarctic Lands,#N/A,#N/A
Amstel Amsterdam,4,0,0.00,,,Barbados,#N/A,17.81
Amulet-3,4,0,0.00,,,Montserrat,#N/A,#N/A
Amulet-7,2,0,0.00,,,Antigua and Barbuda,#N/A,27.82
Ancora,4,1,25.00,,,Saint-Barthélemy,#N/A,#N/A
Andorinha,2,0,0.00,,,Anguilla,#N/A,#N/A
Andorra,169,42,24.85,,,British Virgin Islands,#N/A,11.11
Andromeda,3,0,0.00,,,Cayman Islands,#N/A,14.46
Angelita,18,1,5.56,,,Bermuda,#N/A,20.71
Angerburg,1,0,0.00,,,Heard Island and McDonald Islands,#N/A,#N/A
Angola,267,129,48.31,,,Saint Helena,#N/A,#N/A
Anitra,6,0,0.00,,,São Tomé and Príncipe,#N/A,#N/A
Antares,2,0,0.00,,,Cape Verde,#N/A,50.00
Antigua and Barbuda,133,37,27.82,,,Jersey,#N/A,#N/A
Antwerpia V,10,0,0.00,,,Guernsey,#N/A,#N/A
Apache,5,0,0.00,,,Isle of Man,#N/A,#N/A
Aphrodite,3,0,0.00,,,Faroe Islands,#N/A,#N/A
Arcturus,2,0,0.00,,,British Indian Ocean Territory,#N/A,#N/A
Ardilla,3,0,0.00,,,Norfolk Island,#N/A,#N/A
Aretusa,3,0,0.00,,,Wallis and Futuna,#N/A,#N/A
Argentina,3199,643,20.10,,,South Georgia and the South Sandwich Islands,#N/A,#N/A
Argentina-1,17,0,0.00,,,Falkland Islands,#N/A,#N/A
Argentina-2,17,0,0.00,,,Niue,#N/A,#N/A
Argeste,3,0,0.00,,,American Samoa,#N/A,#N/A
Argo II,3,0,0.00,,,Northern Mariana Islands,#N/A,#N/A
