Sport,no_woman
Athletics,11666
Swimming,9850
Gymnastics,9129
Alpine Skiing,3398
Cross Country Skiing,3385
Rowing,2193
Speed Skating,2081
Fencing,2000
Biathlon,1863
Shooting,1724
Volleyball,1543
Hockey,1459
Handball,1401
Cycling,1394
Canoeing,1380
Basketball,1256
Equestrianism,1246
Diving,1210
Tennis,1178
Figure Skating,1172
Judo,1093
Archery,1015
Football,1012
Table Tennis,953
Sailing,926
Synchronized Swimming,909
Short Track Speed Skating,761
Ice Hockey,754
Badminton,740
Rhythmic Gymnastics,658
Water Polo,488
Softball,478
Weightlifting,463
Freestyle Skiing,433
Snowboarding,416
Art Competitions,377
Luge,377
Wrestling,304
Taekwondo,299
Beach Volleyball,276
Triathlon,263
Curling,222
Modern Pentathlon,164
Rugby Sevens,148
Bobsleigh,143
Trampolining,76
Boxing,72
Golf,70
Skeleton,66
Ski Jumping,30
Croquet,6
Alpinism,1
Motorboating,1
